M5#, time(ms), gX (deg/s), gY (deg/s), gZ (deg/s), aX (g), aY (g), aZ (g), pitch (deg), roll (deg), yaw (deg)
v,53,-306.81,67.09,13.43,0.602,0.09,-1.47,66.1,-46.5,16.3
v,49,-175.03,83.39,54.33,0.43,0.218,-2.25,62,-55.1,19
v,52,-44.78,23.63,63.85,0.377,0.112,-2.275,60.8,-57.4,22.3
v,48,42.44,-28.98,66.1,0.429,0.054,-1.959,62.2,-55.3,25.5
v,53,94.5,-133.47,85.15,0.56,-0.181,-1.501,69.2,-50.3,30
v,48,124.23,-176.87,72.88,0.342,-0.239,-1.197,68.4,-39.3,17.9
v,71,139.24,-169.3,63.6,0.237,-0.27,-0.834,70.6,-27.6,9
v,31,124.84,-143.85,38.39,0.032,-0.204,-0.582,64.3,-23.1,-1.9
v,52,115.56,-90.26,7.33,-0.12,-0.008,-0.331,69,-17.1,-1.5
v,49,96.27,-27.39,-0.24,-0.165,0.127,-0.174,70.3,-12.4,-1.5
v,53,63.56,-2.86,9.53,-0.3,0.02,-0.089,70.5,-9,-1
v,47,22.54,21.8,11.17,-0.327,-0.026,-0.138,69.4,-7.9,-0.5
v,52,-32.57,23.39,14.65,-0.331,-0.16,-0.264,50.9,-11.3,-5.1
v,48,-54.73,71.48,7.76,-0.169,0.016,-0.29,47.5,-13.9,-4.7
v,57,-84.39,139.17,-5.12,-0.026,-0.245,-0.396,33.2,-20.7,-13
v,43,-99.29,194.16,-4.94,0.208,-0.404,-0.697,23.3,-25.6,-19.8
v,50,-108.38,234.57,-52.3,0.316,-0.238,-0.647,13.5,-29.1,-27.8
v,50,-43.93,415.3,-96.37,0.534,-0.222,-0.566,0,-29,-34.4
v,50,-7.06,405.77,-159.36,1.471,-0.26,-0.329,-20.3,-29.3,-42.4
v,51,-4.19,297.74,-159.42,2.048,-0.093,-0.334,-35.5,-29.5,-50.5
v,52,-16.4,113.23,-103.27,1.656,-0.094,-0.57,-41.3,-30.4,-55.9
v,49,1.67,120.07,-63.59,1.405,0.01,-0.311,-28.5,-25.7,-52
v,50,26.39,75.33,-39.67,1.137,-0.047,-0.271,-16,-21.1,-47.9
v,50,41.28,50.49,-15.01,1.134,-0.135,-0.364,-5.1,-17.1,-44
v,51,88.89,-17.02,-2.56,1.101,0.029,-0.185,8.5,-10.5,-38.9
v,50,13.08,-14.09,-1.22,0.904,0.055,-0.001,20.8,-7.8,-33.2
v,50,-28.36,8.13,-4.45,0.994,0.119,0.032,29.8,-6.8,-28.1
v,50,-21.77,-5.3,-1.77,0.99,0.191,0.035,37.4,-5.1,-23.7
v,50,-13.53,-4.87,-2.56,0.943,0.191,0.053,43.7,-3.2,-19.7
v,51,-3.34,0.56,-0.67,0.98,0.192,0.086,48.8,-1.2,-16.1
v,52,1.3,-2.37,1.29,0.972,0.183,0.085,53.3,0.6,-12.9
v,50,3.99,1.05,0.13,0.979,0.185,0.042,57.1,2.3,-10.6
v,61,0.51,-0.96,-0.61,0.965,0.178,0.037,60.5,3.6,-8.7
v,51,-0.35,1.29,-1.16,0.961,0.189,0.025,63.2,4.7,-7.2
v,42,0.93,1.17,-0.18,0.979,0.186,0.047,65.5,5.6,-5.7
v,55,0.2,-2.8,-0.48,0.97,0.177,0.052,67.7,6.3,-4.4
v,90,0.69,-2.43,-0.85,0.957,0.173,0.042,69.7,7,-3.5
v,12,0.93,-0.42,0.31,0.967,0.175,0.054,71.1,7.5,-2.5
v,48,1.54,0.32,-0.12,0.978,0.175,0.05,72.3,7.9,-1.7
v,44,0.08,-1.27,0.13,0.968,0.177,0.051,73.4,8.3,-1
v,51,-0.65,-1.64,0.43,0.954,0.186,0.04,74.3,8.7,-0.5
v,50,-0.16,-1.82,1.04,0.972,0.185,0.046,75.1,9,0
Next Letter: w,,,,,,,,,,
w,51,1.67,-0.17,0,0.98,0.166,0.038,79.7,10.1,1.5
w,51,-0.1,-1.64,0.25,0.964,0.175,0.017,79.8,10.1,1.5
w,51,1.42,0.2,0.37,0.979,0.171,0.032,79.8,10.1,1.5
w,51,1.61,-1.57,-0.12,0.962,0.168,0.022,79.9,10.2,1.5
w,51,0.32,-0.29,0.31,0.989,0.163,0.014,80,10.1,1.4
w,51,-4.44,-8.04,1.35,0.998,0.167,-0.036,80.4,9.8,0.9
w,51,-7.24,-18.05,1.77,1.096,0.191,-0.355,79.6,9.4,-1.8
w,50,75.27,-28.92,60.43,1.751,0.378,-0.936,81,13.2,1.2
w,52,126.79,-179.68,134.83,1.778,0.396,-0.774,90.4,19.8,8.3
w,49,160.24,-248.03,194.34,1.832,0.027,-0.49,102.5,27.6,17.8
w,51,169.82,-390.43,199.95,1.383,-0.11,-0.238,116,30.2,22.3
w,49,222.55,-449.57,144.35,0.615,-0.188,-0.077,128.1,32.4,24
w,51,237.99,-332.32,41.87,-0.041,-0.304,0.195,122.3,29.3,27
w,49,138.02,-96.36,-25.57,0.044,-0.477,0.221,108.7,21,25.6
w,53,76.68,-65.72,-42.29,0.296,-0.234,0.407,100.2,17.5,26.9
w,49,-120.53,-38.75,-51.51,0.119,-0.186,0.496,88.7,6.9,30.7
w,53,-253.89,31.69,-53.22,0.077,-0.141,0.241,87,-6.6,27.8
w,48,-326.09,89.67,-65.24,0.023,-0.157,-0.334,70.8,-22.7,11.3
w,52,-341.9,42.43,-47.48,0.834,-0.121,-0.983,64.3,-35.2,0.1
w,48,-248.27,14.48,29.85,0.2,0.111,-1.948,63.6,-47.1,1.5
w,50,-102.64,83.14,67.26,0.673,0.207,-2.385,59.5,-52.2,4.9
w,50,79.49,-10.18,87.04,0.389,0.157,-2.117,60,-48.3,9.3
w,50,207.78,-70.54,97.11,0.437,-0.033,-1.266,56.8,-32.4,1.4
w,50,245.56,-78.3,87.53,0.158,-0.064,-0.564,54,-18,-6.1
w,72,213.7,-37.77,78.25,0.121,-0.184,-0.161,56.7,-2.7,-0.5
w,36,82.66,-4.93,69.16,0.09,-0.345,0.189,50.3,-8.5,5.9
w,42,-65.35,14.11,42.55,-0.049,-0.33,0.152,41.1,-19.2,10.2
w,50,-187.42,103.95,13.07,0.068,-0.257,0.001,35.9,-28.6,10.9
w,55,-279.03,55.68,2.02,0.252,-0.012,-0.532,31.7,-37.5,-0.4
w,46,-248.76,23.14,25.03,0.33,0.317,-1.525,30.6,-49,0.8
w,51,-103.62,24.73,48.22,0.231,0.23,-2.468,29.4,-54.3,3.2
w,51,44.45,-38.32,43.89,0.076,0.106,-2.444,31.3,-52,5.5
w,51,133.14,-136.1,29.18,0.212,-0.149,-1.837,38.3,-45.2,7
w,60,165.18,-182.79,12.45,0.15,-0.249,-1.306,42.8,-31.6,-5.1
w,40,167.8,-163.93,5.5,0.068,-0.202,-0.713,42.8,-23.5,-15.1
w,51,160.72,-102.4,-18.61,-0.013,-0.009,-0.329,48,-15.3,-16.1
w,49,126.73,-45.03,-18.37,-0.096,0.088,-0.066,50.2,-9.1,-17
w,53,76.98,-13.72,1.35,-0.205,0.05,0.039,50.9,-5,-16.9
w,47,24.55,23.21,22.53,-0.254,-0.021,0.06,49.8,-3.9,-15.8
w,51,-40.75,46.34,22.89,-0.318,-0.187,-0.054,31.5,-9.6,-13.7
w,51,-88.6,124.4,0.37,-0.341,-0.15,-0.106,12.2,-15.4,-14
w,50,-106.91,221.08,-50.17,0.104,-0.227,-0.303,3.3,-22.9,-21.6
w,51,-80.36,263.5,-84.53,0.35,-0.103,-0.76,-5,-24,-31.7
w,50,-71.15,360,-89.84,0.794,-0.315,-0.56,-11.9,-26.1,-35.8
w,51,-13.35,320.45,-107.78,1.261,-0.368,-0.693,-28.2,-26.8,-41.3
w,57,5.57,289.14,-119.14,1.466,-0.358,-0.537,-44.7,-26.5,-48.1
w,44,41.4,220.1,-122.98,1.754,-0.251,-0.61,-54.4,-24.7,-53.5
w,51,69.11,7.03,-116.27,1.399,-0.17,-0.365,-35.4,-19,-52.7
w,49,45.73,67.15,-98.2,0.9,-0.073,-0.558,-24.2,-14.8,-53.6
w,50,19.18,106.46,-50.9,1.307,-0.169,-0.294,-13.8,-12.9,-49.6
w,52,-25.92,40.11,-28.01,1.039,-0.14,-0.058,-1.2,-13.2,-43.9
w,49,-50.76,9.84,-26.55,1.002,-0.035,-0.011,11.7,-13.7,-38.5
w,52,-50.27,-17.2,-34.48,0.883,0.041,0.018,23.8,-13.4,-34.1
w,55,-32.82,-25.26,-42.84,1.088,0.087,-0.071,34,-12.3,-31.5
w,45,-3.58,-15.49,-6.65,1.135,0.201,-0.116,41.3,-9.1,-27.9
w,50,5.27,-26.6,6.29,0.896,0.243,0,47.4,-5.2,-23.5
w,50,4.05,0.26,0.98,0.877,0.235,0.013,51.6,-2,-19.8
w,50,-0.29,9.59,-0.55,1.009,0.214,-0.013,55.1,0.1,-16.9
w,51,-4.86,-1.64,1.9,0.997,0.194,-0.016,58.8,1.5,-14.4
w,50,-5.29,-1.51,0,0.938,0.202,-0.022,61.7,2.9,-12.5
Next Letter: x,,,,,,,,,,
x,51,0.45,3.31,-0.97,0.974,0.205,-0.032,77.7,12.1,-2
x,52,-0.65,1.54,-1.4,0.957,0.198,-0.024,77.7,12,-1.9
x,49,-0.96,2.94,-1.95,0.957,0.204,-0.034,77.6,12,-2
x,51,-1.14,-0.6,-0.48,0.977,0.202,-0.023,77.7,11.9,-2
x,50,-1.14,0.62,-0.06,0.961,0.209,-0.034,77.7,11.9,-2
x,50,-1.75,-2.19,0.13,0.972,0.197,-0.046,77.9,11.7,-2.1
x,51,-3.22,-4.87,4.15,0.953,0.185,-0.123,77.9,11.5,-2.7
x,53,10.7,-24.28,22.53,1.184,0.12,-0.469,77.5,11,-4.5
x,47,52.63,-26.48,88.44,1.73,0.089,-0.792,78.7,13.5,-0.3
x,50,98.9,-165.33,178.47,1.767,0.043,-0.894,87,18.5,8.6
x,51,114.03,-214.47,245.61,1.718,-0.077,-0.604,97.9,24.3,21.1
x,51,126.48,-336.23,250.68,1.29,-0.248,-0.39,108.4,24.5,26.4
x,51,194.05,-398.67,205.39,0.691,-0.32,-0.188,118.7,25.7,29.2
x,50,257.34,-363.39,104.56,0.034,-0.287,0.261,117.1,25.6,35.6
x,52,179.34,-127.67,-37.23,-0.094,-0.368,0.232,103.3,21.3,33.3
x,48,114.22,-54.74,-71.1,0.269,-0.183,0.553,93.8,20.3,34.4
x,50,-96.91,-36.67,-48.82,0.331,-0.191,0.436,86.5,10.3,34.4
x,53,-259.44,28.58,-12.45,0.187,-0.205,0.366,75.8,-6.9,36.6
x,48,-354.23,67.46,16.06,0.569,-0.312,0.006,70.9,-24.7,31.9
x,52,-382.79,104.69,70.68,0.605,-0.143,-0.879,60.8,-39,22
x,49,-260.78,109.26,122.01,0.413,0.086,-2.012,55.4,-51.8,28
x,51,-84.27,71.36,121.77,0.225,0.092,-2.538,51.8,-56.1,34.2
x,51,64.78,-43.81,100.35,0.073,-0.134,-2.06,54,-52.8,39.3
x,48,144.61,-107.59,67.51,0.122,-0.395,-1.458,51,-41.2,25
x,50,155.35,-134.02,49.75,0.129,-0.458,-1.051,50,-32,13.6
x,57,120.62,-135.3,34.67,0.002,-0.429,-0.598,49.1,-26.7,5.1
x,43,79.61,-93.01,2.69,-0.083,-0.266,-0.38,43.6,-24.9,-3.7
x,52,36.52,-59.07,-18.25,-0.166,0.01,-0.221,46.7,-23,-4.6
x,49,-4.99,-14.51,-26.79,-0.265,0.154,-0.084,31.8,-15.4,-7.3
x,51,-42.4,-34.11,-35.27,-0.335,0.217,-0.179,21,-10.5,-11.4
x,51,-64.01,-3.28,-53.28,-0.321,0.19,-0.269,11.4,-8,-17.4
x,50,-90.07,38.77,-92.95,-0.106,0.199,-0.414,6.1,-6.9,-27.9
x,50,-103.86,94.13,-153.01,0.178,-0.016,-0.682,3.3,-10.5,-41.5
x,50,-102.09,98.64,-213.19,0.375,-0.191,-1.046,1.6,-14.7,-54.6
x,51,-64.92,108.23,-229.37,0.896,-0.575,-1.317,-4,-18,-66.3
x,50,-42.28,41.09,-168.33,1.06,-0.666,-1.387,-6,-20.1,-74.7
x,53,-28.97,29.25,-85.81,0.894,-0.669,-1.192,-7.6,-21.7,-79.2
x,50,-12.37,8.25,-9.76,0.738,-0.519,-0.972,-8,-22.3,-79.7
x,50,-6.39,11.79,36.87,0.624,-0.222,-0.774,-1.6,-21.1,-73.6
x,49,-11.21,53.54,71.9,0.516,-0.081,-0.629,2.3,-19.3,-67.1
x,52,-28.67,136.55,89.18,0.369,-0.112,-0.645,0.3,-18.9,-62
x,49,-42.83,227.92,81.36,0.582,-0.186,-0.472,-1.9,-19.9,-54.9
x,52,-73.04,233.11,52.31,0.759,-0.115,-0.403,-2.7,-21.3,-48.6
x,49,-96.29,197.4,19.11,0.906,-0.067,-0.281,0.3,-22.7,-43
x,50,-103.37,158.15,-19.65,0.838,0.033,-0.308,4,-23.4,-40.4
x,90,-83.11,138.32,-55.6,1.106,0.143,-0.324,3.6,-25.2,-41.1
x,11,-55.1,55.74,-46.51,1.115,0.098,-0.32,13.6,-21.2,-37.7
x,59,-26.84,81.92,-29.6,1.202,0.088,-0.264,19,-18.8,-35.4
x,42,-13.23,19.18,-10.19,1.1,-0.019,-0.256,27,-16.6,-32.4
x,50,-1.39,14.9,-3.35,1.018,0.012,-0.06,35.3,-14,-28.2
x,51,-16.64,11.79,-3.9,0.937,0.086,0.019,42.2,-11.9,-24
x,51,-24.03,7.15,-10.49,1.034,0.076,0.062,48.2,-10.5,-20.3
x,50,-19.7,-15.12,-9.46,1.066,0.132,0.056,54,-8.7,-17.2
x,50,-2.06,-4.32,-6.83,0.973,0.104,0.025,58.6,-6.6,-14.7
x,50,1.79,-11.22,-8.3,0.969,0.085,0.04,63,-4.8,-12.5
x,55,0.14,0.56,-4.21,0.944,0.059,0.056,66.3,-3.5,-10.3
x,45,-5.05,4.71,-4.39,0.981,0.056,0.05,69,-2.7,-8.5
x,52,-5.84,0.07,-0.55,0.981,0.073,0.034,71.4,-1.9,-7
x,50,-2.73,1.84,0.13,0.97,0.1,0.04,73.2,-0.8,-5.6
x,49,1.06,-4.57,2.38,0.997,0.131,0.039,74.7,0.4,-4.3
Next Letter: y,,,,,,,,,,
y,51,0.69,-0.29,0.43,0.974,0.095,0.02,83.7,6.1,1.2
y,51,-1.14,1.54,-0.3,0.993,0.092,0.013,83.8,6,1.1
y,51,-0.77,-2.19,1.96,1.037,0.092,-0.031,84,5.8,0.8
y,51,2.46,-2.43,5.37,1.097,0.115,-0.24,83,5.9,-1
y,50,53.42,-36.43,50.48,1.443,0.19,-0.522,84.8,8.6,1.6
y,50,79.67,-109.61,116.46,1.725,0.046,-0.631,90.3,12.6,7.4
y,50,85.83,-178.76,173.04,1.693,-0.084,-0.518,99.2,16.9,16
y,50,73.57,-283.37,196.23,1.298,-0.323,-0.315,107,15.4,20
y,50,97.8,-344.78,191.72,1.007,-0.389,-0.218,115.5,14.2,23.4
y,50,168.96,-406.67,157.41,0.439,-0.34,-0.192,122.7,13.9,23.7
y,50,249.16,-341.6,49.81,-0.261,-0.389,0.129,114,14.4,24.6
y,63,224.51,-109.06,-48.03,-0.203,-0.597,0.195,100,14.6,20.9
y,37,149.25,9.66,-83.86,0.173,-0.425,0.294,87.5,9.4,20
y,51,-77.43,5.44,-52.79,0.436,-0.636,0.389,78.7,-2.5,18.8
y,58,-264.14,-69.02,-11.72,0.119,-0.458,0.373,72,-22.5,21.1
y,41,-384.87,43.84,49.99,0.311,-0.543,-0.168,64,-41.1,17.4
y,50,-303.81,-8.29,92.41,0.178,-0.317,-1.422,55.8,-49.7,7.4
y,50,-94.04,13.99,91.19,-0.323,-0.479,-2.115,55.1,-54.4,11.9
y,50,86.08,-30.38,79.11,0.036,-0.728,-1.723,56.6,-50.1,15.9
y,51,117.57,-76.28,76.85,-0.028,-0.84,-1.128,51.2,-43,8.9
y,50,87.6,-87.33,68.55,-0.101,-0.619,-0.755,46.4,-38.7,2.9
y,51,47.81,-69.32,48.34,-0.227,-0.098,-0.398,38.1,-32.6,-4.2
y,49,23.58,-46.31,20.02,-0.42,0.141,-0.203,25.3,-24.2,-6.4
y,50,-12.31,-20.98,-3.48,-0.524,0.275,-0.045,13.1,-17,-6.2
y,52,-52.35,0.07,-31.43,-0.546,0.264,-0.036,1.6,-12.9,-7.2
y,50,-93.37,43.47,-57.19,-0.375,0.104,-0.208,-9.2,-12.9,-12.8
y,52,-136.94,72.58,-76.11,-0.153,-0.133,-0.616,-13.1,-18.8,-25
y,50,-120.65,67.15,-105.1,0.127,-0.589,-1.299,-16.5,-24.8,-30.2
y,51,-29.52,117.87,-93.32,0.205,-0.499,-1.605,-22.5,-26.3,-35
y,49,64.96,84.06,-59.87,0.375,-0.54,-1.219,-26.6,-23.1,-37.9
y,53,115.56,106.82,-37.35,0.296,-0.362,-0.644,-24.1,-18.5,-42
y,48,37.37,66.3,10.14,0.401,-0.524,-0.443,-18.7,-20.4,-40.4
y,52,-75.73,57.51,0.86,0.121,-0.455,-0.291,-16.5,-29,-39
y,48,-167.64,109.39,-24.72,0.33,-0.436,-0.353,-13.9,-37.8,-39.1
y,53,-219.46,133.43,-52.97,0.319,-0.235,-0.64,-14.1,-44.7,-44.4
y,50,-192.85,104.08,-61.76,0.728,0.238,-1.192,-19.3,-54.4,-47.5
y,51,-78.41,136.91,-50.05,0.782,0.267,-1.343,-26.3,-58.4,-50
y,65,-3.95,73.68,-26.06,1.002,0.267,-1.16,-31.1,-58.6,-51.7
y,32,45.18,89.79,2.02,0.812,0.191,-0.919,-22.7,-47.3,-51.1
y,50,61.42,122.57,16.42,0.724,0.147,-0.649,-17.4,-36.3,-48.9
y,51,56.72,178.3,23.32,0.735,0.027,-0.442,-13.7,-28.1,-45.2
y,50,34.02,176.16,15.75,0.811,-0.019,-0.212,-7.8,-22.7,-40
y,51,-9.32,122.39,-11.29,0.851,-0.069,-0.036,0.8,-20.4,-34.8
y,50,-54.42,97.24,-38.57,0.904,0.063,0.004,9.4,-19,-31.2
y,53,-64.86,77.04,-49.86,1.029,0.075,0.028,17.4,-18.5,-28.5
y,48,-54.42,38.04,-47.3,1.143,0.067,0.022,26.2,-17.4,-26
y,51,-41.73,-21.9,-21.42,1.233,0.146,-0.058,35.6,-15.6,-23.4
y,50,-21.53,-47.23,-10.01,0.947,0.208,-0.197,43.2,-12.3,-22.1
y,51,-0.29,-26.84,4.95,0.881,0.254,-0.088,48.9,-8.1,-19.4
y,53,16.44,19.18,3.18,0.91,0.183,0.001,52.5,-4.4,-16.3
y,62,13.14,8.98,1.59,1.077,0.159,0.041,56.3,-1.8,-13.5
y,36,6.55,-15.67,2.26,1.015,0.174,-0.024,60.4,0.1,-11.6
y,55,9.6,-14.03,-1.89,0.932,0.18,-0.03,63.8,2.2,-10.2
y,47,5.45,-7.74,-5.79,0.969,0.162,-0.036,66.6,3.5,-9.2
y,50,-2.54,-5.85,-3.6,0.959,0.18,-0.042,68.7,4.5,-8.4
y,51,-3.46,-7.25,0.43,1.001,0.181,-0.014,70.7,5.2,-7.2
y,50,-3.4,-16.35,3.6,0.898,0.198,-0.013,72.4,6.1,-6.1
y,53,4.54,5.99,0.92,0.89,0.173,-0.003,73.1,7.1,-5.2
y,48,3.86,10.02,-2.38,0.941,0.167,-0.073,73.6,7.7,-5.1
y,49,4.66,7.21,0.43,1.063,0.163,-0.137,74.1,8,-5.4
Next Letter: z,,,,,,,,,,
z,53,-1.93,-0.9,-0.36,0.971,0.179,-0.054,79.5,9.8,-2.8
z,49,0.45,0.07,0.43,0.959,0.165,-0.042,79.6,9.8,-2.7
z,51,0.87,-1.7,0.31,0.974,0.163,-0.045,79.8,9.8,-2.7
z,51,-1.32,-1.03,0.13,0.954,0.161,-0.039,79.9,9.7,-2.6
z,51,0.08,0.87,-0.36,0.962,0.168,-0.046,79.8,9.7,-2.6
z,51,-0.23,0.87,-1.22,0.971,0.173,-0.06,79.7,9.8,-2.8
z,51,1,5.99,-1.22,0.972,0.15,-0.1,79.4,9.7,-3.3
z,51,6.18,33.22,17.95,1.365,0.413,-0.511,77.7,10,-2.4
z,51,104.33,-0.54,94.85,1.788,0.306,-0.716,77.7,15.3,2.4
z,50,149.55,-151.17,190.92,1.763,0.009,-0.709,85.3,22.8,12
z,50,174.03,-246.08,253.06,1.362,-0.25,-0.358,93.8,25.2,18.8
z,51,190.27,-366.08,240.54,1.002,-0.343,-0.098,106.2,26.9,25.6
z,54,245.26,-373.28,168.52,0.426,-0.453,0.126,113.7,27.3,31.2
z,46,262.35,-252.92,74.34,0.315,-0.527,0.139,111,24.9,31.3
z,50,193.19,-100.45,55.61,0.435,-0.908,0.262,102.3,20.3,31.2
z,50,98.04,-56.93,28.57,0.269,-1.02,0.367,91.5,11.5,30.6
z,51,-52.9,39.32,88.69,0.336,-1.168,0.341,78.4,-2.7,32.2
z,50,-152.51,101.45,119.02,0.34,-0.929,0.104,65.3,-19.1,33.3
z,52,-218.55,38.16,134.89,0.152,-0.416,-0.157,56.7,-35.3,31.4
z,50,-200.73,26.32,112.67,-0.246,0.039,-0.617,43.8,-38,21.3
z,55,-122.36,16.49,74.34,-0.385,0.214,-0.742,32.5,-35.9,12.6
z,46,-49.05,-24.22,14.35,-0.737,0.395,-0.808,22.7,-29.4,4.7
z,54,-2.12,31.57,-51.51,-0.491,0.182,-0.648,12.4,-23.2,-6
z,47,-3.16,21.5,-109.68,-0.213,0.173,-0.546,6.6,-17.4,-19
z,53,5.63,75.76,-166.13,0.194,-0.004,-0.545,5.1,-14.6,-34.2
z,48,35.97,133.13,-232.11,0.51,-0.438,-0.482,4.7,-15.7,-43.9
z,57,75.82,109.51,-273.13,1.003,-0.671,-0.444,-1.6,-11.4,-59.5
z,43,60.93,45.67,-251.22,1.045,-1.119,-0.492,-3.6,-8.8,-70.3
z,51,33.95,21.8,-190.61,1.117,-1.403,-0.432,-4.7,-7.1,-80
z,50,-13.29,1.11,-81.05,1.053,-1.332,-0.454,-4.7,-7.7,-84
z,51,-43.44,25.22,24.97,1.032,-1.028,-0.428,-6,-9.9,-82.8
z,51,-86.47,36.82,101.93,1.022,-0.723,-0.285,-7.9,-14.3,-77.6
z,51,-151.59,37.61,167.85,0.771,-0.385,-0.429,-0.4,-22.3,-62.6
z,50,-192.67,126.42,183.9,0.733,-0.262,-0.33,3.3,-29.9,-48.9
z,50,-224.59,50.98,157.29,0.681,0.036,-0.586,8.1,-34.6,-40.9
z,50,-130.23,28.94,96.81,0.374,0.27,-0.952,8.7,-32.7,-40.3
z,50,-41.79,45.18,28.93,0.375,0.302,-0.858,8.9,-26.9,-42.1
z,50,-3.58,60.8,-28.68,0.48,0.2,-0.731,9.8,-21.1,-45.2
z,50,6.18,94.62,-65.12,0.661,0.045,-0.559,11.8,-17.2,-47.2
z,53,-1.93,121.23,-71.53,0.822,-0.048,-0.438,13.8,-15.2,-47.6
z,55,-9.87,143.32,-77.82,0.927,-0.05,-0.269,16.1,-13.8,-46.5
z,55,-12.74,145.28,-80.99,1.074,-0.139,-0.139,18.8,-13.4,-44.4
z,38,-13.9,148.21,-85.99,1.148,-0.187,-0.055,23.3,-13.2,-40.9
z,51,-10.24,81.37,-70.13,1.197,-0.193,-0.143,28,-13.1,-38.8
z,56,-15.42,70.63,-50.35,1.109,-0.161,-0.112,32.5,-13.1,-36.3
z,45,-6.76,22.41,-35.27,1.059,-0.152,-0.134,38.6,-12.6,-33.2
z,51,-9.2,4.59,-20.57,0.989,-0.012,-0.076,45.5,-11.2,-29.8
z,54,-6.45,-19.64,-6.89,0.966,0.075,-0.227,51,-9.2,-27.6
z,47,6.31,10.27,-0.48,1.018,0.127,-0.147,54.8,-6.5,-24.7
z,53,2.95,-15.12,0.19,0.965,0.132,-0.027,59.5,-4.2,-21.3
z,48,-5.23,-3.28,1.47,1.003,0.166,-0.019,62.8,-2.4,-18.2
z,51,-6.57,-8.96,0.92,0.984,0.17,-0.029,65.8,-0.8,-15.6
z,53,-1.51,-3.47,-0.67,0.957,0.16,-0.031,68.1,0.6,-13.6
z,48,1.18,-0.66,-1.09,0.962,0.147,-0.006,70.1,1.9,-11.7
z,51,-2.91,0.44,-1.58,0.958,0.127,0.016,72,2.6,-9.8
z,51,-3.34,-0.78,-0.36,0.975,0.144,-0.027,73.4,3.3,-8.6
z,50,-1.87,-0.6,0.31,0.963,0.157,-0.018,74.5,4.2,-7.5
z,51,0.2,-0.66,-0.55,0.967,0.147,-0.009,75.6,4.8,-6.4
z,52,1.06,-3.34,0.43,0.957,0.157,-0.017,76.5,5.6,-5.6
z,49,1.54,1.05,-0.67,0.963,0.157,-0.034,77,6.2,-5.1
Next Letter: 0,,,,,,,,,,
0,51,0.69,-0.72,-0.12,0.974,0.146,-0.03,81.2,8.5,-2
0,50,0.51,-2.31,0.25,0.968,0.144,-0.034,81.3,8.5,-2
0,78,2.64,-1.03,0.06,0.963,0.151,-0.031,81.3,8.8,-2
0,22,-0.96,-4.44,3.3,1.004,0.135,-0.084,81.3,8.6,-2.3
0,51,-5.29,-11.52,10.2,1.042,0.091,-0.221,81.2,7.8,-3.3
0,51,20.77,-39.72,29.54,1.171,0.091,-0.524,80.6,8.1,-5.1
0,58,84.86,-113.03,67.14,1.33,0.081,-0.848,87.1,13.1,-1.2
0,44,155.29,-170.64,132.14,1.572,-0.145,-0.759,94.6,19.9,4.6
0,51,152.61,-237.41,195.8,1.581,-0.407,-0.498,106.8,27.7,14.6
0,51,125.51,-270.37,218.63,1.11,-0.583,-0.285,111.4,24.9,19.9
0,51,64.41,-280.75,204.04,0.762,-0.802,-0.214,113.3,17.2,24.1
0,50,4.84,-224.05,164.8,0.296,-0.914,-0.357,108.3,5.3,24.5
0,51,-47.1,-194.32,101.93,0.216,-0.581,-0.642,102.6,-3.6,18.3
0,50,27.55,-236.13,-28.01,-0.422,0.7,-0.648,93.7,4.4,8.6
0,50,68.68,-110.28,-111.81,-0.544,0.824,-0.224,79.4,14.9,0.7
0,50,51.53,-124.44,-141.41,0.012,0.477,-0.036,73,27.6,-6.1
0,50,-10.48,43.9,-145.75,0.12,-0.021,0.15,70.8,27.1,-13.4
0,50,-120.4,-28.49,-161.25,0.263,-0.476,0.122,65.6,9.1,-16.3
0,50,-207.26,97.24,-167.78,0.655,-0.854,-0.207,57.2,-8.7,-22.7
0,50,-263.71,109.51,-120.66,1.098,-0.874,-0.687,51.7,-21.9,-28.7
0,50,-249.13,78.01,14.22,1.099,-0.932,-1.175,47.8,-34.4,-28
0,50,-181.07,74.47,124.58,0.942,-0.654,-1.438,44.1,-43.4,-21.7
0,50,-128.16,-51.01,182.13,0.51,-0.094,-1.904,46.6,-49.8,-12.6
0,51,0.63,11.97,179.63,0.353,-0.096,-1.795,46,-49.8,-3.5
0,50,73.5,-114.12,157.11,0.194,0.11,-1.82,51.7,-46.1,4.4
0,51,124.96,-108.02,114.44,0.239,0.084,-1.475,50,-33.3,-3.4
0,50,138.87,-150.44,72.51,0.005,0.261,-1.042,48.9,-20.3,-11.2
0,49,142.54,-95.69,0.37,-0.184,0.284,-0.588,43.2,-7.6,-18.5
0,52,129.05,-82.14,-46.87,-0.202,0.212,-0.355,36.5,3.4,-25.4
0,49,103.9,-58.15,-85.26,-0.164,0.015,-0.119,39.3,8.5,-29.5
0,52,57.76,-33.44,-93.93,0.042,-0.349,-0.118,35.9,-0.8,-32
0,50,10.58,-24.16,-66.89,0.263,-0.912,-0.3,33.8,-10.2,-32.7
0,51,-11.33,-11.46,-10.07,0.198,-1.327,-0.604,34.4,-10.8,-33.2
0,48,-0.77,1.17,45.47,0.219,-1.32,-0.725,34.3,-10.8,-31
0,51,11.49,-6.76,94.24,-0.014,-1.21,-0.729,29.4,-17.5,-27
